raw_marks,approx_percentile,approx_rank,normalized_score
0,0.5,1194000,0.0
1,2.475,1170300,0.0033333333333333335
2,4.45,1146600,0.006666666666666667
3,6.425000000000001,1122900,0.01
4,8.4,1099200,0.013333333333333334
5,10.375,1075500,0.016666666666666666
6,12.350000000000001,1051800,0.02
7,14.325000000000001,1028100,0.023333333333333334
8,16.3,1004400,0.02666666666666667
9,18.275000000000002,980700,0.03
10,20.25,957000,0.03333333333333333
11,22.225,933300,0.03666666666666667
12,24.200000000000003,909600,0.04
13,26.175,885900,0.043333333333333335
14,28.150000000000002,862200,0.04666666666666667
15,30.125,838500,0.05
16,32.1,814800,0.05333333333333334
17,34.075,791100,0.056666666666666664
18,36.050000000000004,767400,0.06
19,38.025,743700,0.06333333333333334
20,40.0,720000,0.06666666666666667
21,41.0,708000,0.07
22,42.0,696000,0.07333333333333333
23,43.0,684000,0.07666666666666666
24,44.0,672000,0.08
25,45.0,660000,0.08333333333333333
26,46.0,648000,0.08666666666666667
27,47.0,636000,0.09
28,48.0,624000,0.09333333333333334
29,49.0,612000,0.09666666666666666
30,50.0,600000,0.1
31,51.0,588000,0.10333333333333333
32,52.0,576000,0.10666666666666667
33,53.0,564000,0.11
34,54.0,552000,0.11333333333333333
35,55.0,540000,0.11666666666666667
36,56.0,528000,0.12
37,57.0,516000,0.12333333333333334
38,58.0,504000,0.12666666666666668
39,59.0,492000,0.13
40,60.0,480000,0.13333333333333333
41,60.6,472800,0.13666666666666666
42,61.2,465600,0.14
43,61.8,458400,0.14333333333333334
44,62.4,451200,0.14666666666666667
45,63.0,444000,0.15
46,63.6,436800,0.15333333333333332
47,64.2,429600,0.15666666666666668
48,64.8,422400,0.16
49,65.4,415200,0.16333333333333333
50,66.0,408000,0.16666666666666666
51,66.6,400800,0.17
52,67.2,393600,0.17333333333333334
53,67.8,386400,0.17666666666666667
54,68.4,379200,0.18
55,69.0,372000,0.18333333333333332
56,69.6,364800,0.18666666666666668
57,70.2,357600,0.19
58,70.8,350400,0.19333333333333333
59,71.4,343200,0.19666666666666666
60,72.0,336000,0.2
61,72.4,331200,0.20333333333333334
62,72.8,326400,0.20666666666666667
63,73.2,321600,0.21
64,73.6,316800,0.21333333333333335
65,74.0,312000,0.21666666666666667
66,74.4,307200,0.22
67,74.8,302400,0.22333333333333333
68,75.2,297600,0.22666666666666666
69,75.6,292800,0.23
70,76.0,288000,0.23333333333333334
71,76.4,283200,0.23666666666666666
72,76.8,278400,0.24
73,77.2,273600,0.24333333333333335
74,77.6,268800,0.24666666666666667
75,78.0,264000,0.25
